city,date,fare,ride_id
Dennisside,2018-02-14 16:22:24,37.41,6728901137086
Ortegaberg,2018-01-27 22:38:17,19.41,0017059083151
Dennisside,2018-02-06 09:30:46,40.07,6390959933646
South Alyssa,2018-02-03 00:55:13,40.02,5197911536553
Rodriguezborough,2018-03-06 06:59:02,15.45,3063691391892
East Yvonneshire,2018-02-05 10:54:02,11.23,0583518686398
Josephtown,2018-02-03 17:51:57,35.02,2583193186242
East Jessicastad,2018-02-04 02:38:34,35.79,6689931385628
Edwardberg,2018-03-04 05:52:13,6.31,0698064567333
Lake Sarah,2018-03-02 08:24:37,6.89,4450086074628
Jackstad,2018-02-02 21:07:10,37.95,6699726213227
East Jessicastad,2018-02-13 13:50:27,39.52,9623336767143
Port Nancy,2018-02-05 08:55:37,5.51,2638485558822
Arielview,2018-01-25 23:02:11,13.41,1928492448478
West Robertland,2018-03-05 02:50:14,41.2,6319632694179
Lake Nicoleside,2018-02-07 16:46:15,41.76,5364137347106
Davidborough,2018-01-24 04:06:19,16.01,2707116519805
East Jessicastad,2018-02-03 17:42:44,19.04,5956933787110
Ortegaberg,2018-01-28 04:45:34,41.6,2089091619184
Davidborough,2018-03-06 05:46:35,41.26,4183484899226
West Tylerborough,2018-01-17 17:01:36,11.03,4137902821535
Edwardberg,2018-02-11 05:53:24,39.48,6354127110338
Lake Lindsay,2018-01-28 09:30:39,44.17,9929692247924
Lake Lindsay,2018-01-23 00:47:31,11.23,6016064950162
New Matthewborough,2018-01-29 03:18:05,4.62,6443853890369
Lake Nicoleside,2018-01-21 18:25:41,20.63,2890052114897
Brownfort,2018-03-01 04:53:38,21.5,0174125669562
East Jessicastad,2018-01-12 14:57:23,15.3,9620410050948
Johnmouth,2018-02-05 14:04:55,24.54,5112694790251
New Christopher,2018-01-17 22:33:46,23.89,7246786807546
Carlchester,2018-03-09 15:41:18,24.61,0285334668731
Mcdonaldbury,2018-02-13 08:39:08,23.64,5385490020505
Baileychester,2018-02-02 12:09:34,42.24,3143405205834
Dunlapmouth,2018-02-13 06:21:27,14.26,4002805645154
New Adam,2018-01-11 14:02:06,14.85,2996739939408
New Richard,2018-01-23 02:20:03,44.75,2079958444325
Wisetown,2018-02-01 11:50:10,19.41,0148247001319
Lake Lindsay,2018-02-03 18:26:21,33.61,6385095978002
Jacobsonmouth,2018-02-13 22:18:33,13.33,9632586808858
Marshallside,2018-01-13 11:49:42,12.2,6245069694621
Ortizland,2018-02-15 20:11:34,31.44,4634227781662
South Joshua,2018-02-03 01:08:27,11.72,4943857319344
East Kristina,2018-01-17 04:44:39,33.97,0816551341147
Marshallside,2018-02-08 22:40:34,44.31,7404855219502
North Samantha,2018-02-24 12:49:25,10.64,1961143703595
Perezland,2018-01-07 04:28:13,11.76,7410433403324
Benjaminport,2018-03-02 20:53:42,7.32,3126853109978
Curtismouth,2018-02-19 17:45:20,7.01,3218255184063
East Yvonneshire,2018-01-15 18:42:57,15.57,5223020354808
Arielview,2018-02-27 00:09:07,22.64,5375426355382
Lake Breanna,2018-03-04 19:45:52,6.46,3775631179513
Dennisside,2018-02-21 22:52:04,23.54,4677304564147
West Tylerborough,2018-02-15 13:10:19,25.31,4594282428370
West Robertland,2018-03-05 06:53:29,32.92,4889280261693
Wisetown,2018-02-27 08:13:59,36.7,7889331806597
Lake Patriciaside,2018-01-18 01:47:18,9.96,9950343551039
Ortizland,2018-02-14 22:00:27,40.76,2993463845814
Mcdonaldbury,2018-02-15 08:24:32,32.32,0396282640509
Lake Sarah,2018-02-28 05:18:22,7.99,5795244266736
Ortegaberg,2018-03-01 12:02:08,23.73,2891316860246
Benjaminport,2018-02-06 18:46:17,34.02,6658914283978
Gordonton,2018-03-02 07:30:03,19.62,6863533603032
Lake Sarah,2018-03-06 22:39:43,20.6,7027468162210
Brianmouth,2018-01-27 18:00:19,7.49,6823251834699
Riverahaven,2018-03-08 08:22:13,29.08,1618522506475
Brianmouth,2018-01-01 19:06:18,32.53,6595720723024
Wisetown,2018-03-06 06:53:20,40.84,9510239598311
Diazmouth,2018-01-19 07:10:07,33.57,1772403289151
West Tylerborough,2018-01-27 06:38:57,37.92,3275568513447
East Jessicastad,2018-03-01 19:05:50,26.68,4968128933142
Taylorfurt,2018-01-23 19:40:23,20.35,5152343355219
North Samantha,2018-03-09 03:43:32,36.51,1039443254489
Jackstad,2018-02-24 11:05:53,14.75,6113909081965
Bryanbury,2018-01-29 16:51:31,5.62,5970065693613
South Alyssa,2018-01-29 11:34:43,32.11,4710615072908
East Jessicastad,2018-02-08 00:07:16,26.53,6387539784071
West Tylerborough,2018-02-10 10:30:36,9.28,5191886568939
Mcdonaldbury,2018-01-10 01:13:45,29.91,7500420124414
New Adam,2018-01-08 18:41:53,30.76,1000572935341
Dennisside,2018-02-27 01:57:59,36.82,8125143120711
Lake Breanna,2018-01-28 02:26:50,32.45,8514878071434
Johnmouth,2018-01-26 09:29:23,41.04,9004909133105
Hollowayburgh,2018-02-07 17:02:36,21.09,1434724016037
Johnmouth,2018-03-01 02:58:36,33.6,3813155469212
Curtismouth,2018-03-05 07:14:19,36.63,0993652839039
North Sara,2018-01-03 23:36:12,12.71,2734884376378
Wisetown,2018-02-18 04:20:53,27.0,2058271590018
Dennisside,2018-03-09 23:45:59,26.19,8957009433037
Carlchester,2018-02-23 21:52:18,38.47,4109313893067
Lake Lindsay,2018-01-22 07:31:48,4.21,5265303480903
West Kellyton,2018-01-02 15:57:00,19.08,0337611177822
Baileychester,2018-02-22 06:49:52,33.32,4977030501288
West Kellyton,2018-02-26 19:15:56,40.4,6401665954488
New Adam,2018-01-14 20:26:57,38.55,8685802317635
Hallville,2018-01-11 20:46:30,15.2,7762094556926
Annaland,2018-02-10 13:49:27,33.46,6976756123291
North Samantha,2018-01-13 22:22:12,17.99,1550225187974
Ortizland,2018-01-07 01:41:23,17.02,7256929461368
Virginiafurt,2018-01-05 07:37:24,4.86,4639070274033
Gordonton,2018-02-20 15:36:12,7.44,1789688641659
New Christopher,2018-01-25 20:08:14,42.37,8919050802606
Dennisside,2018-03-02 18:50:16,5.39,5777838642584
West Robertland,2018-01-10 18:14:38,17.23,0870137106872
Hollowayburgh,2018-02-05 04:07:19,16.29,9683161953791
New Adam,2018-01-11 14:26:26,21.85,4929953527760
Josephtown,2018-02-09 15:07:56,33.67,4821071509454
North Sara,2018-02-26 02:45:00,31.82,8216056355748
Curtismouth,2018-01-23 19:23:12,11.28,1586385867609
Curtismouth,2018-03-05 11:48:03,9.85,3755122318522
West Tylerborough,2018-01-30 07:42:02,34.59,5629005738500
East Yvonneshire,2018-02-06 05:18:45,30.4,6002414751251
Baileychester,2018-03-07 12:37:31,44.55,7372797650298
Howardshire,2018-01-16 11:22:43,15.54,1091973969622
New Richard,2018-01-04 00:42:44,22.52,7395927168739
New Christopher,2018-02-06 05:39:15,26.6,5690822421418
Leeside,2018-01-24 15:51:33,16.56,6596995451049
Bryanbury,2018-02-12 01:37:36,40.69,4228801722655
Lukeport,2018-01-30 01:22:27,9.17,6281367836516
Virginiafurt,2018-01-07 18:34:41,24.85,9498811863616
Hollowayburgh,2018-01-13 17:41:41,10.64,5603798844495
South Joshua,2018-01-27 00:55:35,36.91,5906493324676
Brownfort,2018-01-25 21:27:26,26.73,1006905983119
Riverahaven,2018-02-19 08:05:29,38.0,5262761435438
Mullinsbury,2018-03-02 06:01:54,9.65,9440275385135
North Sara,2018-02-24 13:17:55,13.32,3961018852951
Fergusonshire,2018-01-16 03:13:09,31.47,5626608314162
Howardshire,2018-02-13 02:57:07,17.76,1331025779268
Lukeport,2018-03-04 20:03:29,19.45,8263900383563
Kingtown,2018-01-04 16:12:00,33.35,4011860257677
East Jessicastad,2018-01-23 04:23:14,17.63,3634697584566
Leeside,2018-02-08 18:01:42,11.99,3189373429025
New Adam,2018-02-17 08:11:29,9.8,5367390224801
Johnmouth,2018-02-13 04:14:50,11.07,8646066938950
Jackstad,2018-02-28 15:25:11,44.9,5307000024025
Wisetown,2018-01-04 02:09:41,30.38,5363288782903
New Matthewborough,2018-02-07 18:16:44,15.27,5874803344334
East Yvonneshire,2018-01-22 06:39:29,29.26,1313181333867
Ortizland,2018-02-25 04:55:50,16.89,7929812178758
Wisetown,2018-03-08 20:42:24,23.18,5744101263876
East Jenniferborough,2018-02-14 15:55:44,21.35,2531134044793
Lake Breanna,2018-02-01 19:23:17,39.04,4389973833928
Hallville,2018-02-27 02:28:10,6.75,8995951250890
Jacobsonmouth,2018-01-07 16:03:02,39.25,3489180817894
Virginiafurt,2018-01-13 10:47:35,30.42,6548576352450
Lake Patriciaside,2018-01-14 20:47:57,25.79,4270664873852
New Matthewborough,2018-02-04 18:14:28,30.69,3641749533281
Leeside,2018-02-17 07:57:48,14.6,5918252362607
Bryanbury,2018-03-03 00:33:10,25.94,3061321450230
Jackstad,2018-02-14 16:22:08,27.73,8124790642188
South Jessica,2018-02-27 10:55:07,21.77,6490909843176
Lake Sarah,2018-01-23 17:13:30,8.57,4739521537578
Benjaminport,2018-03-07 00:09:08,20.46,6572824627342
New Brandystad,2018-02-06 11:11:52,14.36,8929150123907
Johnmouth,2018-01-24 02:27:23,16.45,5746665485893
Jackstad,2018-02-06 06:47:01,31.37,6725856953327
Lukeport,2018-02-03 20:50:57,34.23,9116567285581
South Alyssa,2018-02-24 00:22:05,23.71,7398412767219
Riverahaven,2018-01-15 20:24:38,37.67,4757985947269
East Yvonneshire,2018-01-17 21:09:16,39.89,8409910034655
New Adam,2018-03-04 12:28:04,5.61,5642370722509
Rodriguezborough,2018-01-04 11:40:29,9.88,2089297614525
Johnmouth,2018-03-04 21:15:34,24.65,1558382570745
Leeside,2018-01-06 11:33:22,21.93,1684184904737
Dunlapmouth,2018-02-25 01:45:15,44.58,6867267338659
Perezland,2018-02-14 23:19:36,4.54,5069049050259
East Yvonneshire,2018-01-19 23:33:01,27.69,2420362092594
Lake Nicoleside,2018-01-02 19:07:56,41.42,4090932791219
Lake Patriciaside,2018-01-05 15:47:45,25.86,9065428026651
West Tylerborough,2018-03-07 11:10:53,17.12,6072770589485
Perezland,2018-03-10 17:16:45,38.33,2227969834004
Benjaminport,2018-01-12 10:23:23,40.74,7173053908883
Brianmouth,2018-01-11 23:09:12,17.64,9265261272233
West Kellyton,2018-01-09 14:12:05,13.15,7851282111082
Bryanbury,2018-02-04 14:49:50,29.87,4725640720304
Port Nancy,2018-01-22 14:42:19,39.18,9475646854811
Davidborough,2018-02-27 23:04:10,12.7,0556459001179
West Tylerborough,2018-01-05 08:36:42,9.9,6106385862616
Jacobsonmouth,2018-03-05 10:52:17,7.88,9130074143752
Lake Lindsay,2018-02-18 14:29:57,35.37,8373802957066
Mullinsbury,2018-01-25 16:02:09,34.19,4792746242979
Lukeport,2018-01-19 06:09:02,7.78,7165232638544
Willismouth,2018-02-07 17:41:30,4.47,2170601402935
New Richard,2018-02-20 11:36:47,5.28,0286124511596
Rodriguezborough,2018-01-02 01:46:06,8.52,3450734851435
Marshallside,2018-02-12 14:23:58,43.74,6962148690205
Edwardberg,2018-03-06 09:42:41,11.24,7260746961444
Perezland,2018-03-12 08:00:53,5.93,5037199126667
Annaland,2018-01-15 22:02:49,30.39,7414096930296
Gordonton,2018-01-04 06:22:54,29.52,1431695191169
Dennisside,2018-03-03 08:36:46,16.46,2610431319022
Virginiafurt,2018-02-07 14:16:58,33.37,2613753233458
North Sara,2018-02-14 04:31:32,35.32,6428082499453
South Jessica,2018-01-13 07:58:21,24.55,2340151779980
Lake Lindsay,2018-02-07 16:55:41,12.53,0304208097122
North Sara,2018-02-22 06:13:27,24.64,5570918817137
Mullinsbury,2018-02-05 00:43:01,5.09,7111353819294
Jacobsonmouth,2018-02-23 14:33:03,12.22,9795385247645
Kingtown,2018-02-28 02:45:40,35.31,7429503486815
Lake Nicoleside,2018-03-09 20:03:22,9.0,6295944286540
South Joshua,2018-01-19 21:52:37,21.75,5883758078478
East Yvonneshire,2018-01-22 21:22:50,29.67,0632111797878
Virginiafurt,2018-01-03 14:32:48,15.69,2052719791067
Brianmouth,2018-02-27 19:54:37,4.92,1806108199887
Carlchester,2018-01-04 07:18:10,14.58,0918246949963
Josephville,2018-01-21 09:39:06,6.75,9727345076606
Lukeport,2018-01-17 09:21:55,32.18,3597096711035
East Kristina,2018-01-19 07:33:56,43.75,8348602573938
Mcdonaldbury,2018-01-04 04:18:32,14.22,0430766422431
Port Nancy,2018-03-09 08:09:11,9.33,4157700291446
South Joshua,2018-02-03 09:56:48,5.39,7566571808399
New Matthewborough,2018-02-09 23:35:27,24.85,2461937389831
Lake Sarah,2018-02-03 05:58:13,44.32,7066121274648
New Brandystad,2018-02-20 23:57:14,13.47,1163031706477
Wisetown,2018-01-01 15:06:11,27.23,2770533608667
New Christopher,2018-01-06 00:43:32,6.58,5408278161693
Willismouth,2018-01-29 01:37:27,4.32,5774219742833
Mullinsbury,2018-02-25 11:42:36,44.25,1447448987873
Bryanbury,2018-02-23 05:16:46,29.41,5422404175712
Gordonton,2018-01-03 08:52:13,7.21,2465459885161
East Jenniferborough,2018-01-29 19:06:50,31.54,9160193313804
Howardshire,2018-01-25 23:26:25,42.29,3367732147487
Davidborough,2018-02-09 07:20:22,4.03,6072771573469
Leeside,2018-01-12 10:43:44,40.78,2440578319261
Riverahaven,2018-01-25 10:42:41,29.94,0149389022682
New Christopher,2018-01-05 21:07:18,36.83,9403705549422
New Matthewborough,2018-01-04 07:24:27,38.66,6411884974853
Ortegaberg,2018-02-19 10:47:39,30.47,1233865646789
Brownfort,2018-02-13 18:40:17,17.38,4093642816159
Dunlapmouth,2018-02-14 13:44:56,43.69,8821809170488
Mcdonaldbury,2018-02-10 12:47:34,34.28,3153947085788
Jackstad,2018-03-04 00:41:51,8.93,4084193933396
Annaland,2018-01-01 22:33:24,26.94,7707521323061
North Sara,2018-03-04 05:25:31,40.17,5244059569858
Jackstad,2018-02-18 07:25:30,41.28,3635400031971
Marshallside,2018-03-09 20:12:02,17.7,5280598968158
South Jessica,2018-02-15 08:32:32,43.82,7336505915185
West Kellyton,2018-01-24 16:12:57,38.76,4320574801466
New Andrew,2018-02-26 14:51:03,40.74,3159106518159
Gordonton,2018-02-27 13:35:59,44.64,0736979409192
Jacobsonmouth,2018-01-25 13:56:42,42.29,9436564624542
Lake Lindsay,2018-01-30 16:17:58,34.84,5591191862843
Benjaminport,2018-02-24 19:34:05,31.13,5462298097158
Hollowayburgh,2018-03-10 05:52:56,37.97,3661314909891
Dennisside,2018-03-07 18:01:38,23.76,0227749563249
West Kellyton,2018-02-10 03:34:08,40.5,4036724187396
Benjaminport,2018-01-13 14:41:46,44.54,2469943981049
Edwardberg,2018-02-18 09:31:29,16.22,4813133977226
New Andrew,2018-02-12 19:57:11,41.72,6360002132937
Lake Sarah,2018-01-03 11:05:04,37.2,9574171669546
South Alyssa,2018-01-11 08:35:59,43.01,4020460098283
Baileychester,2018-02-17 17:50:46,35.14,9819462977246
Brownfort,2018-03-06 09:09:54,21.6,5323433320121
Arielview,2018-03-05 01:00:22,24.35,0733795198866
Lake Patriciaside,2018-01-24 16:30:24,33.3,3304095939557
Lake Sarah,2018-03-05 11:04:53,28.46,4633499193418
Willismouth,2018-01-08 03:27:41,44.62,0400582162101
Josephville,2018-02-06 13:33:51,40.59,9733342426184
South Jessica,2018-03-02 03:49:33,4.59,1530912860670
Wisetown,2018-01-15 11:25:51,16.39,5747300016991
New Andrew,2018-03-11 07:42:05,22.75,2990869307694
Lukeport,2018-02-28 20:17:15,37.47,7503679312342
Howardshire,2018-01-25 21:46:14,6.36,3464086201053
Hallville,2018-02-06 04:36:49,16.96,3761472988810
Brownfort,2018-01-11 04:32:17,23.07,4735566708614
Virginiafurt,2018-03-04 02:24:53,26.6,6087272981644
South Richardberg,2018-02-23 20:45:31,22.47,1162991129777
Arielview,2018-01-18 03:13:03,25.29,0616195683814
Virginiafurt,2018-01-17 13:53:06,21.57,5410543337177
Bryanbury,2018-02-13 08:45:04,8.7,3124730699529
South Joshua,2018-03-07 23:04:07,21.71,1789362016322
New Richard,2018-02-02 09:14:06,32.58,4032635868867
Glendatown,2018-02-01 17:15:14,28.3,1523856875565
South Joshua,2018-03-10 07:56:48,36.75,8891642495420
Josephville,2018-01-11 01:26:59,21.26,6143359540040
West Kellyton,2018-01-09 03:00:23,17.33,3301520504540
Dunlapmouth,2018-02-15 21:56:23,20.26,8491738224226
Perezland,2018-01-26 02:39:44,35.28,6892791942744
Hollowayburgh,2018-01-28 13:03:07,40.78,5876062680451
Hallville,2018-02-23 14:45:45,30.39,5094553755000
Lake Nicoleside,2018-02-16 12:25:20,12.62,1258417600002
Hollowayburgh,2018-01-15 21:38:27,44.17,3402909310148
Fergusonshire,2018-02-08 21:17:03,26.71,3054091633125
Lake Patriciaside,2018-02-23 20:16:51,17.57,2451759720189
Ortegaberg,2018-02-27 18:14:46,33.29,6167512314668
Glendatown,2018-02-02 01:53:01,18.69,1125787627789
Ortegaberg,2018-03-11 18:28:23,44.02,4501222399539
Port Nancy,2018-01-13 13:40:33,36.65,4981561554866
Rodriguezborough,2018-02-28 14:42:52,28.81,3298006823823
Gordonton,2018-02-18 05:01:45,15.08,5821003361098
Kingtown,2018-03-10 07:26:12,35.86,1206034966100
Leeside,2018-02-13 06:10:27,6.88,4809189298323
Josephville,2018-03-10 07:48:11,43.04,9102352467959
Port Nancy,2018-02-21 12:07:21,36.46,4672190020906
Annaland,2018-03-04 18:03:34,38.39,3999122176007
New Christopher,2018-02-06 05:57:48,31.59,7719664187790
Rodriguezborough,2018-01-07 04:31:12,14.38,9278007199145
Dennisside,2018-01-13 08:41:09,32.45,2033663126914
West Kellyton,2018-03-02 08:03:02,41.22,4806510638209
South Alyssa,2018-01-13 07:35:11,6.26,6027878123499
North Sara,2018-03-10 11:23:49,5.88,6688787853879
Fergusonshire,2018-01-11 11:21:12,9.43,4450364525101
Port Nancy,2018-02-24 21:39:00,23.33,5178050446514
New Matthewborough,2018-01-05 14:37:27,10.16,0547194706719
Josephtown,2018-02-24 03:13:23,19.48,5168409380071
West Kellyton,2018-02-11 05:32:07,26.06,5314133447478
Mcdonaldbury,2018-01-22 23:34:40,27.13,8980735541165
Baileychester,2018-02-08 18:35:22,5.0,2067188310114
Taylorfurt,2018-03-08 22:25:06,9.39,1306531251218
Ortizland,2018-02-15 05:02:52,8.62,5244718049073
Lake Patriciaside,2018-03-06 08:58:02,41.99,9568324024337
Mullinsbury,2018-01-09 13:49:56,35.19,0419448368076
Port Nancy,2018-03-08 02:16:54,23.63,7918765607620
West Kellyton,2018-02-11 13:57:51,43.75,3516309359239
Taylorfurt,2018-01-28 22:23:59,11.53,8073221174074
Dennisside,2018-01-03 00:17:19,14.98,2898573209184
Bryanbury,2018-02-03 08:44:35,19.58,3158627335894
East Yvonneshire,2018-01-21 00:42:33,22.49,0840013215523
Hallville,2018-03-08 11:25:22,23.78,6351230185192
New Adam,2018-01-17 08:44:10,14.74,8999416738435
Davidborough,2018-01-26 01:27:37,29.95,5413280983287
Lake Patriciaside,2018-01-03 16:26:39,6.51,4231556961132
North Sara,2018-02-22 19:55:45,28.19,9364402504933
Willismouth,2018-02-11 00:49:53,42.14,0146263896841
Jacobsonmouth,2018-02-02 03:26:14,26.57,4101946285592
New Adam,2018-01-02 09:37:59,9.09,8786989815836
East Jessicastad,2018-01-25 06:52:25,37.71,3309809149314
South Joshua,2018-02-01 15:34:06,23.38,3068395440990
Mullinsbury,2018-01-12 04:37:47,35.25,4551916384631
Dennisside,2018-01-06 08:12:19,25.73,7972692270302
East Jessicastad,2018-02-27 07:05:48,16.92,2756563709178
Ortizland,2018-02-19 00:23:33,44.51,9988334840794
Marshallside,2018-03-01 04:32:00,14.06,8350805588510
Leeside,2018-01-29 17:47:54,38.25,6243996884337
Josephville,2018-01-12 17:34:05,12.67,4913870084888
South Jessica,2018-01-16 05:10:28,43.77,4162306329127
Carlchester,2018-01-14 04:41:00,41.81,3793873213260
Brianmouth,2018-01-30 01:46:27,25.65,3326778342218
Lake Sarah,2018-01-14 03:10:05,5.95,6584048961256
West Kellyton,2018-01-24 08:43:52,43.89,3378681257776
Brownfort,2018-01-18 11:52:11,20.79,7604431561159
Kingtown,2018-01-12 05:31:33,8.11,9544748828775
Dunlapmouth,2018-01-06 01:49:04,40.8,8138627490736
East Jenniferborough,2018-02-20 02:33:20,20.13,1817760783505
West Robertland,2018-02-18 10:40:48,12.04,1949982133032
South Joshua,2018-02-12 03:53:24,32.69,8607348189545
Ortegaberg,2018-01-21 20:50:22,27.72,3163852696931
Jacobsonmouth,2018-03-03 00:06:54,17.0,7006648228564
Lake Sarah,2018-02-26 20:15:41,11.92,5670087019513
Lake Breanna,2018-02-04 12:22:27,16.22,3339491570707
Ortegaberg,2018-02-19 16:51:04,6.68,5941825637222
Johnmouth,2018-02-01 23:17:22,11.32,6835402474982
Lake Sarah,2018-03-10 00:55:54,7.5,2108406928671
Hallville,2018-01-04 09:32:58,37.54,7566490752681
East Jenniferborough,2018-01-24 02:43:33,32.1,8874478803393
Gordonton,2018-01-03 18:22:31,25.34,7277201576419
Arielview,2018-01-29 15:21:26,44.59,1609483350115
Port Nancy,2018-01-09 08:46:41,41.72,2047963337383
Curtismouth,2018-01-31 17:26:09,29.94,7304159471449
Lukeport,2018-02-05 10:18:30,36.2,3656029420618
Johnmouth,2018-02-27 02:01:11,20.37,3439267626086
Howardshire,2018-01-17 07:25:46,31.76,9064775462174
Mullinsbury,2018-01-25 15:33:51,25.2,3264251306763
Ortizland,2018-02-02 06:54:48,8.62,7021561920685
Lake Patriciaside,2018-02-05 22:16:44,5.05,8912984304116
Willismouth,2018-03-10 12:43:01,22.68,2786342394967
Howardshire,2018-01-14 10:46:31,44.24,0915975431202
Arielview,2018-03-07 09:21:58,12.17,3920829483440
South Jessica,2018-01-05 13:50:10,5.94,0501395700914
New Christopher,2018-02-18 02:51:42,27.11,6145247214538
New Matthewborough,2018-02-07 05:59:23,15.24,4334451157805
New Matthewborough,2018-02-23 22:40:53,31.81,0700944524173
New Andrew,2018-02-21 07:39:23,40.19,7115933198922
Willismouth,2018-01-28 12:19:58,27.38,0605677911675
Lukeport,2018-01-19 05:23:31,8.68,1755398398312
Davidborough,2018-02-17 10:23:50,21.56,2752385073442
Johnmouth,2018-01-07 13:46:55,14.85,1099130778308
Lake Sarah,2018-01-24 06:09:27,17.13,2033818952146
East Yvonneshire,2018-01-08 06:51:58,21.04,9186958867894
New Adam,2018-02-20 06:38:45,5.86,3618370414098
West Tylerborough,2018-02-15 14:42:10,24.99,4851622978620
Annaland,2018-03-10 17:19:12,22.39,1979001177778
Hollowayburgh,2018-01-11 08:16:54,21.55,4915413849022
East Jenniferborough,2018-03-10 23:04:58,10.11,8485489492386
Rodriguezborough,2018-01-06 19:00:07,29.38,3590706236003
Arielview,2018-02-21 05:02:01,25.44,5108342304178
Hollowayburgh,2018-01-28 09:55:29,43.76,0633000642903
North Sara,2018-02-18 00:36:21,18.11,9897743897490
Taylorfurt,2018-01-18 11:22:55,30.44,3497214011095
Lukeport,2018-01-20 01:13:10,14.04,6610354213588
New Christopher,2018-02-13 08:27:59,43.63,6236172632082
Virginiafurt,2018-01-14 23:30:07,8.56,1619784438702
Willismouth,2018-01-28 21:13:42,11.29,6346630391809
Leeside,2018-01-04 11:46:44,31.2,9637133597476
Perezland,2018-02-14 08:09:10,18.91,8625400276750
East Kristina,2018-01-18 21:50:46,44.87,0208178435284
Diazmouth,2018-01-30 17:21:47,40.44,3315884760290
Glendatown,2018-02-24 03:02:40,41.26,3897360252128
East Kristina,2018-01-08 14:03:36,4.95,6908548448633
New Richard,2018-01-23 04:17:49,38.8,5278715072956
Brianmouth,2018-02-11 14:31:48,12.12,4311063958907
Mullinsbury,2018-01-20 07:15:55,43.62,8753546947729
New Brandystad,2018-03-08 02:12:17,27.21,6686253112437
Bryanbury,2018-02-17 13:02:17,18.06,8411710958291
New Christopher,2018-03-05 11:13:04,14.17,9739355503409
Taylorfurt,2018-01-21 16:31:30,39.5,3949447268512
Port Nancy,2018-02-18 09:05:34,14.95,8649256487702
New Richard,2018-02-02 14:11:37,34.29,7435809316541
Mcdonaldbury,2018-01-19 16:41:18,31.24,6592143890289
West Robertland,2018-02-14 16:36:35,38.74,6333947713226
Lukeport,2018-01-10 06:21:25,33.88,2622718692377
Dunlapmouth,2018-01-17 16:44:41,24.18,9618079391953
Marshallside,2018-01-26 04:07:19,6.8,3300311744905
New Brandystad,2018-02-23 05:34:41,11.86,4309435606167
Dunlapmouth,2018-02-19 10:41:25,15.37,5018066203162
Davidborough,2018-01-28 01:28:25,19.84,3625000969118
Fergusonshire,2018-01-18 11:07:28,26.92,3118138469075
North Sara,2018-01-04 18:39:07,28.0,6625753430559
Lake Patriciaside,2018-01-21 09:03:06,9.31,2524344601221
South Richardberg,2018-02-10 12:54:04,40.14,8034974217067
South Jessica,2018-01-23 04:46:57,20.27,7620105685198
Johnmouth,2018-01-22 00:25:39,33.38,4892028288319
South Richardberg,2018-01-10 06:55:22,18.25,9475426472792
Lake Sarah,2018-03-09 03:10:56,17.52,0320348145141
New Brandystad,2018-01-12 08:17:59,21.42,0780715105473
Arielview,2018-02-13 17:54:50,32.05,6464964810497
Virginiafurt,2018-03-03 07:44:21,29.34,0113568828792
Jacobsonmouth,2018-02-13 18:43:58,21.54,9516634621722
